Date,Adj Close
12/11/22,null
12/12/22,4.168
12/13/22,4.248
12/14/22,4.22
12/15/22,4.213
12/16/22,4.163
12/18/22,null
12/19/22,4.163
12/20/22,4.23
12/21/22,4.205
12/22/22,4.208
12/23/22,4.193
12/25/22,null
12/27/22,4.195
12/28/22,4.338
12/29/22,4.295
12/30/22,4.26
1/1/23,null
1/3/23,4.255
1/4/23,4.4
1/5/23,4.498
1/6/23,4.493
1/8/23,null
1/9/23,4.483
1/10/23,4.565
1/11/23,4.555
1/12/23,4.475
1/13/23,4.488
1/15/23,null
1/17/23,4.493
1/18/23,4.53
1/19/23,4.525
1/20/23,4.538
1/22/23,null
1/23/23,4.535
1/24/23,4.573
1/25/23,4.545
1/26/23,4.543
1/27/23,4.548
1/29/23,null
1/30/23,4.535
1/31/23,4.57
2/1/23,4.52
2/2/23,4.51
2/3/23,4.523
2/5/23,null
2/6/23,4.533
2/7/23,4.57
2/8/23,4.585
2/9/23,4.613
2/10/23,4.635
2/12/23,null
2/13/23,4.645
2/14/23,4.66
2/15/23,4.643
2/16/23,4.665
2/17/23,4.68
2/19/23,null
2/21/23,4.688
2/22/23,4.695
2/23/23,4.69
2/24/23,4.703
2/26/23,null
2/27/23,4.665
2/28/23,4.71
3/1/23,4.725
3/2/23,4.723
3/3/23,4.718
3/5/23,null
3/6/23,4.728
3/7/23,4.845
3/8/23,4.883
3/9/23,4.848
3/10/23,4.803
3/12/23,null
3/13/23,4.658
3/14/23,4.68
3/15/23,4.558
3/16/23,4.53
3/17/23,4.293
3/19/23,null
3/20/23,4.465
3/21/23,4.605
3/22/23,4.563
3/23/23,4.503
3/24/23,4.503
3/26/23,null
3/27/23,4.583
3/28/23,4.628
3/29/23,4.63
3/30/23,4.665
3/31/23,4.585
4/2/23,null
4/3/23,4.57
4/4/23,4.728
4/5/23,4.705
4/6/23,4.71
4/9/23,null
4/10/23,4.838
4/11/23,4.88
4/12/23,4.86
4/13/23,4.855
4/14/23,4.903
4/16/23,null
4/17/23,4.923
4/18/23,5.03
4/19/23,4.995
4/20/23,4.945
4/21/23,4.95
4/23/23,null
4/24/23,4.873
4/25/23,4.953
4/26/23,4.985
4/27/23,5
4/28/23,4.923
4/30/23,null
5/1/23,4.865
5/2/23,5.04
5/3/23,5.095
5/4/23,5.055
5/5/23,5.08
5/7/23,null
5/8/23,5.083
5/9/23,5.123
5/10/23,5.065
5/11/23,5.015
5/12/23,5.028
5/14/23,null
5/15/23,5
5/16/23,5.058
5/17/23,5.088
5/18/23,5.125
5/19/23,5.085
5/21/23,null
5/22/23,5.095
5/23/23,5.153
5/24/23,5.185
5/25/23,5.163
5/26/23,5.115
5/28/23,null
5/30/23,5.143
5/31/23,5.248
6/1/23,5.203
6/2/23,5.215
6/4/23,null
6/5/23,5.143
6/6/23,5.158
6/7/23,5.153
6/8/23,5.1
6/9/23,5.095
6/11/23,null
6/12/23,5.095
6/13/23,5.1
6/14/23,5.08
6/15/23,5.055
6/16/23,5.065
6/18/23,null
6/20/23,5.075
6/21/23,5.135
6/22/23,5.135
6/23/23,5.138
6/25/23,null
6/26/23,5.155
6/27/23,5.18
6/28/23,5.17
6/29/23,5.175
6/30/23,5.153
7/2/23,null
7/3/23,5.145
7/5/23,5.193
7/6/23,5.213
7/7/23,5.213
7/9/23,null
7/10/23,5.225
7/11/23,5.243
7/12/23,5.23
7/13/23,5.223
7/14/23,5.215
7/16/23,null
7/17/23,5.233
7/18/23,5.248
7/19/23,5.245
7/20/23,5.243
7/21/23,5.248
7/23/23,null
7/24/23,5.25
7/25/23,5.265
7/26/23,5.268
7/27/23,5.268
7/28/23,5.255
7/30/23,null
7/31/23,5.248
8/1/23,5.26
8/2/23,5.26
8/3/23,5.258
8/4/23,5.253
8/6/23,null
8/7/23,5.26
8/8/23,5.275
8/9/23,5.28
8/10/23,5.268
8/11/23,5.265
8/13/23,null
8/14/23,5.27
8/15/23,5.28
8/16/23,5.285
8/17/23,5.278
8/18/23,5.278
8/20/23,null
8/21/23,5.28
8/22/23,5.295
8/23/23,5.295
8/24/23,5.303
8/25/23,5.315
8/27/23,null
8/28/23,5.323
8/29/23,5.32
8/30/23,5.315
8/31/23,5.298
9/1/23,5.268
9/3/23,null
9/5/23,5.278
9/6/23,5.3
9/7/23,5.283
9/8/23,5.293
9/10/23,null
9/11/23,5.293
9/12/23,5.305
9/13/23,5.305
9/14/23,5.295
9/15/23,5.298
